document	label
하기싫은거 억지로 강제로 소환하면 되니?강제로 하는건 나쁜거야 나오지 말도록	0
투표합시다 우리나라 앞날을위해 꼭..투표안하고 경제가 어렵니 안어렵니 하지말고 당당하게 투표해서 우리나라 발전에 기여합시다 정치 잘 할 사람으로 꼭 귀중한 한 표 선사하십시오	0
2차로 남자집을 왜 가.무조건 남자만 탓 할 일은 아니다.명백히 가려지길...	1
짱깨한테 점령당한 블랙핑크 근황.jpg	0
ㅋㅋㅋㅋㅋ 자격조건이 유체이탈화법이냐? 하여간 배웠다는놈들 수준이	1
니들 빨갱이들끼리 잘묵고잘살어라 이놈들아 왜자꾸시비거는데? 그지들아....	1
잠도 깻으니 슬슬투표하러가볼까..	0
할카	0
그래서 트와이스 채영이 누군데 ㅋㅋㅋㅋㅋㅋ	0
찐짜 판사안지 개판인지의 차이겠지	1
이 개돼지보다 못한인간아 ㆍㆍ 어디서 헛소리질이냐 ㆍㆍ	1
너나 잘하세요....	0
저게 원인같지? 응 아니야. 너네들은 죽었다 깨어나도 안됨. 대한민국 국민성이 앞에선 정의니 민주니 해도 선거앞 마인드는 70 80 과 달라진게 없음. 정서상 자기편 등에 칼꽂은 인간은 어딜가도 안받아주는게 현실이고 내부고발자 정의롭다해도 아군만들면 자기 등뒤에 칼꽂을까봐 거리두는게 현실이야. 거기에 니네들은 정의를 위해서가 아니라 니네가 권력잡을라고 들이받다가 선을 넘어 칼꽂은거라서 절대 안됨. 물갈이 싹하기 전까지는 못이겨.	0
imf때 박근혜같은 인간이 대통령이었다면?와 끔찍하다	1
수색작업이 막바지에 이르고 사태를 정리할 시점이 되니 또 다시 알바들 대거 투입..	0
전쟁위기의 국가에 투자할 OOO들은 없어. 김대중-노무현때의 온건책은 오랜 군부독재로 낙후화된 한국경제와 김영삼때의 병x짓이 만들어낸 IMF외환위기에 따른 점도 무시 못한다. 연평도때 하루 아침에 9조원이 증발했다. 어제 블랙시트라는 세계적인 여파에 52조원이 날라갔는데.. 당시 연평도에 한번 서로 주고받은거롤 9조원 날아갔어. 90년대의 그 긴장감 속에서 북한이랑 대치정국속에서 우리가 외화유치를 쉽게 할 수 있을꺼라고 생각하냐? 지금 보수세력이 일으킨 희대의 병x짓으로 국가부도 위기까지 갔던상황에서ㅋㅋ 보수가 경제를 일으킨다고?	1
음주운전이잖아!판사야!	0
말 저렇게하고 정부 국회놈들은 짐싸고있겠지 OOO	0
반대 한넘들 전부 국가 보안법으로 처벌 하자... 야당 넘들 선거때 보자고... 좋은 말 할때 우리 고향 전북에서 열라당 간판 철수 해라.... 국민당도.... 하얀천에 붉은 물 들이지 마라... 당장 핵무장 부터 해야 한다.	0
사촌누나 카톡프사 ㅁㅌㅊ?	0
유감은 일본놈들이 우리한테 잘 쓰는 말 아니냐? 제일 무책임한 말이 유감이기도 하지.	0
어찌 이런일이~ 단지 내면 서행하지 않나요? 나도 갑자기 자전거 타고 달려든 아이와 부딪혔지만 아이가 놀랐을 뿐 다치진 않았는데? ㅠ 어쨌든 엄마가 자기자식을... 엄마가 어찌 살아갈 수 있을지 맘이 마프네요	1
트러블이 필요한가.. 이건아닌듯	1
힘드시겠다. 공약을 많이 했는데.. 현실은.....	0
기사가 웃기는군....패배이유를 덕지덕지 갖다붙인다고 다 패배 이유냐?	0
박근혜가 트와이스 멤버로 들어가면 트와이스 인기 더 많아질듯...	0
직스는 q 폭발 범위 롤백안하면 주류픽 절대못됨. ㅋㅋㅋ 딜이 문제가 아니라 맞추는게 노답인데	1
결국 이게 김정은 체제를 확고히 하려는 북한의 쇼였구나...여기에 남한이 놀아난거야...ㅋ 윗대가리들은 아니깐 골프치러 다닌거고 국민들에게 긴장감 조성시킨건...욕쳐먹고 있는 박그네 국면전환용? 하여간 북한이고 남한이고 분단의 이 아픈 현실을 이용해 쳐먹으려는 건 똑같구나. 역시 동포야 동포.♥♥	0
기자 ㅂㄷㅂㄷ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ여긴 자본주의 대한민국임 기사 어그로 ㄴㄴ	1
통일돼겠네~~~~~	0
윤석열 3번= ( 유외조) 통신 매체다 틀어막습니다?■ 윤석열 총장님? 작년 11월 29일12월 9일 대검찰청문에서 =시위했고 ( 사진 들고) 청와대 국회등등 ■ 2014년 10월부터 혼자2018년? 2019년 봄? 까지서울중앙지검( 나혼자 접수= 2년간 )● 2016년 6월 초부터ㅡ 2년넘게 ( 천안지원서) 변호사 대리로결과는 2년간 시간만 허비하게..?● 여긴 3번 다썼어요 총장님 다른기사에ㅡ계속올리니? 꼭 꼭?■ 제 글 보시고 꼭 도움 주세요? 저희들살려주세요?	1
박근혜님 사과하지마시고 그냥 하야해주세요 님에게 대통령이란 자리는 너무 벅차고 어울리지 않아요 이번 사고수습과정을 보면 사고를 돈벌이 수단으로 보는 언딘, 언딘과 유착한 해경, 해경 말만 잘듣는 해군, 허수아비총리와 무능력한 장관들, 재난콘트럴타워가 청와대가 아니라고 책임없다는 청와대, 옷 갈아입고 사진찍기 좋아하는 대통령 이 모든 사람들이 사고를 대참사로 만들었습니다. 우아한 박근혜님 사과하지 마시고 하야해주세요 제발	0
여붕이 얼평좀	0
김경희에게 이젠 가족이 아무도 남지 않았구나...아무리 오랫동안 별거했다지만 자기 남편을 처참하게 죽인 조카가 가족이라는 느낌은 절대 안들 거야.	0
맞는 말은 잘 하지ㅡㅡ 그런데 왜 그걸 해결할 만한 방책은 만들지 않냐?;;;;	0
여자라서 행복하겠다. 사고후 도망가다 잡혔는데 집유라니...	0
불륜은 큰 범죄지. 지옥에 간다고. 집안이 형태가 다양해서 좀 그렇지 본질적인 면을 보면 배우자를 배신해서 음식에 독타 먹이고 다른 년놈이랑 노는 건데... 사탄의 짓이지.	1
희한하게도 수도권에선 인물이 안나오네ㅋㅋㅋ	0
신과함께 때문에 비호감..연기를 하..	1
지금 어떤 코치들보다 .더 뛰어나니응원합니다.	0
가로로 접어도 사람인 자로 구분가능하게 한거 아닌가요? 과거에 그래서 사람인자 모양으로 한걸로 아는데?	0
보수가 공산당이였네	0
오직 임신을 위한 임신형 몸매.jpg	0
자이라 상향쫌	0
이멸박 사형가자 멸박이 사형시켜야 국가 미래가 있다	1
영화평 쓰면서 극우세력이 어쩌구 하면서 끌어들이는 기자의 정신세계가 신기하구먼	0
