document	label
다음대선 정권교체는 안철수 와 그다음 까지 두번임 ㅡㅡㅡㅡㅡㅡ 10년간 국정을 이끌 세력은 안철수를 전폭적으로 밀어야함 ~~~~이게 혁신임 주기적인 민주적 정권교체도 되는거고 안철수가 따블스코어로 대선에 이기도록 지원해야함 ~~~~정치권의 발전적 세대교체도 되고 , 경제발전도 하고	0
유명a씨의 딸이 음주뺑소니를 하고도 회사 법무팀이 고용한 로펌의 끈질긴 변호덕에 집행유예를 이끌어 냈습니다. 이건 우리 사법 엑사에 쾌거입니다. 음주 뺑소니 재범하신 재력가들은 억울하게 옥사리 하지 마시고 전화주세요. 1588~로펌로펌. 판사들을 하버드 출신 용병으로 대체해서 이해관계를 단절시켜라~그 길이 유일한 선택.	0
반성한다고 집행유예라… 진짜진짜 넓게 생각해서 한 번은 실수라쳐도 심지어 두 번째인데요…?	0
말로만 당장 10조원 복지 예산 줄여 국방비 증액해라! ?疽各?정인들 머하는지	0
떡고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 	0
탄핵해도모자를판에 마음안쓰이면서 겉핥기 사과하고 유감이란말까지	0
세금은 국민 모두가 내고 상위 30%는 하위 70% 보다 항상 세금을 훨씬 많이내는데 왜 항상 혜택에서는 제외가 되어야 하는 것이냐 / 세금을 오지게 많이내는 상위 30%가 더 달라는 것도 아니고	1
유승민 : 여가부 폐지.jpg	0
보쌈 중짜리 휴대폰 결제로 시켯더	0
박정희대통 명언 - 앞으로 누가 대통령이되든 오늘날 우리 야당과 같은 반대를 위한 반대의 고질이 고쳐지지 않는한 야당으로부터 오히려 독재자라고 불리는 대통령이 진짜 국민을 위한 대통령이라고 나는 생각합니다 우리는 자유민주주의체제보다 더 훌륭한 제도를 아직 갖지 못했습니다 그러나 아무리 훌륭한 제도라 하더라도 이를 지킬수 있는 능력이 없을때에는 이 민주제도처럼 취약한 제도 또한 없는 것입니다 <60~70년대 사람이 이미 2013년 한국정치판을 예견함>	0
대만 애 소식까지 알아야 하나	1
박근혜 대통령 할머니, 비교사진까지 등장해 논란이 커진 가운데 사진 속 주인공 항의 동일인물이라니'http://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2014050118284183402좌파 감정팔이 선동꾼들이 분명히 있습니다. 이런때에 선동이라니 이런 언론들 사법처리 합시다.	0
칼질 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0
사람이 자기의 거짓과 치부를 드러내고 사는 사람이 얼마나 있을까? 문대통령이라한들 주위에서 말을해두지 않으면 어찌 알겠어 사람들아 박근혜는 예전부터 다 드러난 사실들이다	1
미친년인데 ㅋㅋ	1
역대 유엔 사무총장중 최악 아니냐 어딜 대권을 넘보나 시류에편승하는자거	1
